,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0.0,0.0,4054.303500000028,0.0,0.0,83.62925000001292,0.0,3148.5449999998878,0.0,0.0,-628.5889999999745,252.12799999999882,603.114000000081,358.96299999999883,637.5879999999449,894.575000000002,879.4128461224353,1142.6039999999948,654.1112222222791,2227.3559999999834,0.0,669.5530000000116,0.0,1905.3429999999566
2,4956.056999999938,8812.284842474503,2789.3904210526516,4116.792588235253,7319.296886792516,5491.2317142857755,4257.5895000000055,5627.267999999933,4080.695999999989,4279.747500000069,5518.069499999909,2397.4470000000147,5322.54450000006,2250.9539999999815,3661.219499999823,2115.6105263157883,2696.614844671208,4223.409842105229,5859.6649763748665,3365.038944444486,3511.232571713611,2093.3248888888966,9310.296135085493,3149.736823529395
3,4956.056999999938,8812.284842474503,4054.303500000028,4116.792588235253,11183.395330188687,3294.3081428571404,4257.5895000000055,5627.267999999933,2026.5119999999733,4279.747500000069,2618.128999999947,3680.8574999999832,5322.54450000006,1522.5400000000006,3661.219499999823,2408.8059999999814,2528.605213469403,5510.482499999944,5859.6649763748665,3365.038944444486,3511.232571713611,2093.3248888888966,9310.296135085493,3149.736823529395
4,1696.223999999956,1744.307291666667,488.5960000000047,1083.2168823529025,3757.5497958834007,0.0,341.5509999999366,1203.5719999999492,125.29000000000256,188.1390000000072,5518.069499999909,28.75299999999524,100.27000000002846,296.8139999999819,0.0,369.9279999999999,1038.2229599999919,0.0,819.4287777777996,647.0259999999571,617.0623731342569,1157.7680000000157,1996.5565883997576,0.0
10,4956.056999999938,8812.284842474503,4054.303500000028,4116.792588235253,7455.596886792458,3174.7931428571583,4257.5895000000055,5627.267999999933,2627.9840000000054,2105.960000000052,2474.5289999999595,3680.8574999999832,5322.54450000006,1594.3519999999698,3661.219499999823,3761.8649999999957,2221.9318600000106,5510.482499999944,6087.218909090918,4765.686000000069,722.8208805970248,4173.36150000001,9216.788773584896,2085.425999999975
11,889.0409999999134,475.23849999998987,1473.391999999968,522.1401960783885,1140.298264150988,2210.043142857144,2311.0199999999736,5627.267999999933,4080.695999999989,2385.4520000000493,1637.558999999982,3680.8574999999832,2480.861000000078,588.3860000000038,1582.8609999999326,1309.0149999999924,5035.59399367348,5510.482499999944,2877.5907777777766,4765.686000000069,3358.5306865671573,2014.0840000000221,14893.222160377369,5192.783999999974
14,2550.1249999999695,1605.1562708333063,1603.093000000004,1728.4308039215312,3554.9507756814055,2929.1061428571534,4257.5895000000055,5627.267999999933,1233.0950000000807,4279.747500000069,5518.069499999909,1826.4929999999933,3548.3630000000403,1184.3349999999825,3661.219499999823,2115.0780000000486,1698.4525199999705,5510.482499999944,9450.37355454545,4765.686000000069,2596.018820895565,2301.891000000002,9343.540773584875,2880.6359999999668
16,1482.9129999999918,884.1472291666548,541.5800000000349,1946.480078431371,1233.7505094340086,390.40135714286964,426.11899999997985,0.0,4080.695999999989,783.2370000000473,3678.7129999999393,3680.8574999999832,883.0349999999275,138.3540000000254,1110.91099999995,0.0,-25.37262000001057,2656.3190000000295,0.0,516.2060000000098,1158.6594328358033,720.7440000000255,5385.845828130386,1335.0989999999897
18,3304.0379999999586,8812.284842474503,2323.626000000038,4116.792588235253,1060.0816792453065,3327.5971428571693,2838.3930000000037,5627.267999999933,1861.8949999999877,4279.747500000069,5518.069499999909,1614.1210000000042,3446.735000000005,1508.3029999999965,3661.219499999823,3761.8649999999957,5035.59399367348,5510.482499999944,9450.37355454545,4765.686000000069,9005.634838534577,2782.241000000007,14893.222160377369,5192.783999999974
20,4956.056999999938,5758.328398384393,4054.303500000028,4116.792588235253,5733.84825042883,3660.821142857184,4257.5895000000055,5627.267999999933,2579.0390000000166,4279.747500000069,2465.4319999999916,2453.904999999989,5322.54450000006,1655.4229999999702,3661.219499999823,1975.341999999986,2696.614844671208,5510.482499999944,3323.305222222256,2650.449,3511.232571713611,2413.758000000004,9629.046773584934,5192.783999999974
22,4956.056999999938,8812.284842474503,2483.273000000039,4116.792588235253,11183.395330188687,2521.0011428571725,4257.5895000000055,5627.267999999933,2078.6220000000685,4279.747500000069,5518.069499999909,2044.0429999999935,3063.0490000000113,1922.7019999999898,3661.219499999823,3761.8649999999957,5035.59399367348,5510.482499999944,9450.37355454545,4765.686000000069,1208.0120447761192,1818.2660000000037,9928.814773584912,5192.783999999974
23,4956.056999999938,5874.856561649669,4054.303500000028,4116.792588235253,7029.847886792497,3471.2881428571527,4257.5895000000055,5627.267999999933,4080.695999999989,4279.747500000069,5518.069499999909,2076.5870000000095,5322.54450000006,1509.380999999998,3661.219499999823,1960.6769999999847,1412.1070000000204,5510.482499999944,9450.37355454545,4765.686000000069,9005.634838534577,4173.36150000001,14893.222160377369,5192.783999999974
24,4956.056999999938,8812.284842474503,4054.303500000028,4116.792588235253,5980.2380867924585,3150.9171428571963,4257.5895000000055,5627.267999999933,4080.695999999989,4279.747500000069,5518.069499999909,3680.8574999999832,5322.54450000006,3376.4309999999723,3661.219499999823,3761.8649999999957,3357.062662448987,5510.482499999944,9450.37355454545,4765.686000000069,6003.7565590230515,2250.1930000000066,9514.002773584889,5192.783999999974
27,4956.056999999938,3416.508645833328,2702.869000000019,4116.792588235253,5357.8778867924475,3143.161142857177,4257.5895000000055,5627.267999999933,2645.444000000074,2853.1650000000454,2221.885000000001,1537.9390000000144,5322.54450000006,2072.222999999991,3661.219499999823,3761.8649999999957,1999.49820000002,5510.482499999944,5879.826236363672,4765.686000000069,9005.634838534577,1760.1209999999937,14893.222160377369,2256.628000000011
31,4956.056999999938,8812.284842474503,4054.303500000028,4116.792588235253,6869.129886792499,2908.6591428571655,4257.5895000000055,5627.267999999933,2233.8289999999934,2597.1120000000114,2527.2799999999306,3680.8574999999832,5322.54450000006,1303.471,3661.219499999823,3761.8649999999957,5035.59399367348,5510.482499999944,9450.37355454545,4765.686000000069,118.68141791041695,4173.36150000001,14893.222160377369,3149.736823529395
44,1977.5459999999641,2041.8300625000218,4054.303500000028,2535.521352941146,6889.1298867924925,2365.0841428571534,1408.2359999999715,3751.511999999955,877.7740000000125,662.5289999999995,613.0449999999602,0.0,741.5320000000562,0.0,2440.812999999882,798.9470000000229,2289.10216000003,2752.0539999999805,9450.37355454545,1920.4670000000465,2473.4624179104358,639.6359999999979,6167.981500857613,1706.048999999987
55,1008.2569999999205,5033.91965086825,0.0,998.3626274509633,3376.8789979036183,1854.1511428571398,816.322999999991,724.6430000000755,4080.695999999989,1098.711000000081,216.35300000000024,779.6599999999976,1184.852999999988,401.7769999999929,1533.6139999998936,374.7779999999801,5035.59399367348,3673.6549999999625,559.2956111111105,0.0,9005.634838534577,709.6520000000048,8721.801773584932,259.6199999999948
63,1537.2009999999661,1924.2664583333171,4054.303500000028,2744.5283921568353,4810.378068610689,2664.446142857174,1515.106000000008,2581.4609999998056,156.70899999995248,792.1950000000636,0.0,3680.8574999999832,2407.820000000005,105.52200000001176,1605.7879999999407,1641.520999999993,926.4804400000072,2144.687000000038,5779.169618181809,1775.2130000000143,447.041283582062,0.0,8812.531773584953,1305.3810000000399
77,4956.056999999938,8812.284842474503,4054.303500000028,4116.792588235253,11183.395330188687,3620.9141428571584,4257.5895000000055,5627.267999999933,2720.4639999999927,4279.747500000069,5518.069499999909,3680.8574999999832,5322.54450000006,1560.3870000000065,3661.219499999823,3761.8649999999957,5035.59399367348,5510.482499999944,9450.37355454545,4765.686000000069,3510.903701492496,4173.36150000001,7552.492773584953,5192.783999999974
81,1970.4800000000027,1421.55520833337,838.953999999984,2041.6034313725238,4954.900159519765,908.4681071428732,730.0869999999867,312.2969999999691,458.25999999999067,1472.7320000000493,328.29799999993946,452.34500000001526,0.0,112.33699999999482,1018.467999999929,14.878000000015163,0.0,1749.6779999999953,3891.0347636363786,3177.124000000046,1453.4647462686905,1748.495000000001,6849.815523584911,3461.855999999983
